time,avg_power_kw
0.000,3.646614
1.000,3.646614
2.000,3.646614
3.000,3.646614
4.000,3.646614
5.000,3.646614
6.000,3.646614
7.000,3.646614
8.000,3.646614
9.000,3.646614
10.000,3.646614
11.000,3.646614
12.000,3.646614
13.000,3.646614
14.000,3.646614
15.000,3.646614
16.000,3.646614
17.000,3.646614
18.000,3.646614
19.000,3.646614
20.000,3.646614
21.000,3.646614
22.000,3.646614
23.000,3.646614
24.000,3.646614
25.000,3.646614
26.000,3.646614
27.000,3.646614
28.000,3.646614
29.000,3.646614
30.000,3.646614
31.000,3.646614
32.000,3.646614
33.000,3.646614
34.000,3.646614
35.000,3.646614
36.000,3.646614
37.000,3.646614
38.000,3.646614
39.000,3.646614
40.000,3.646614
41.000,3.646614
42.000,3.646614
43.000,3.646614
44.000,3.646614
45.000,3.646614
46.000,3.646614
47.000,3.646614
48.000,3.646614
49.000,3.646614
50.000,3.646614
51.000,3.646614
52.000,3.646614
53.000,3.646614
54.000,3.646614
55.000,3.646614
56.000,3.646614
57.000,3.646614
58.000,3.646614
59.000,3.646614
60.000,3.646614
61.000,3.646614
62.000,3.646614
63.000,3.646614
64.000,3.646614
65.000,3.646614
66.000,3.646614
67.000,3.646614
68.000,3.646614
69.000,3.646614
70.000,3.646614
71.000,3.646614
72.000,3.646614
73.000,3.646614
74.000,3.646614
75.000,3.646614
76.000,3.646614
77.000,3.646614
78.000,3.646614
79.000,3.646614
80.000,3.646614
81.000,3.646614
82.000,3.646614
83.000,3.646614
84.000,3.646614
85.000,3.646614
86.000,3.646614
87.000,3.646614
88.000,3.646614
89.000,3.646614
90.000,3.646614
91.000,3.646614
92.000,3.646614
93.000,3.646614
94.000,3.646614
95.000,3.646614
96.000,3.646614
97.000,3.646614
98.000,3.646614
99.000,3.646614
100.000,3.646614
101.000,3.646614
102.000,3.646614
103.000,3.646614
104.000,3.646614
105.000,3.646614
106.000,3.646614
107.000,3.646614
108.000,3.646614
109.000,3.646614
110.000,3.646614
111.000,3.646614
112.000,3.646614
113.000,3.646614
114.000,3.646614
115.000,3.646614
116.000,3.646614
117.000,3.646614
118.000,3.646614
119.000,3.646614
120.000,3.646614
121.000,3.646614
122.000,3.646614
123.000,3.646614
124.000,3.646614
125.000,3.646614
126.000,3.646614
127.000,3.646614
128.000,3.646614
129.000,3.646614
130.000,3.646614
131.000,3.646614
132.000,3.646614
133.000,3.646614
134.000,3.646614
135.000,3.646614
136.000,3.646614
137.000,3.646614
138.000,3.646614
139.000,3.646614
140.000,3.646614
141.000,3.646614
142.000,3.646614
143.000,3.646614
144.000,3.646614
145.000,3.646614
146.000,3.646614
147.000,3.646614
148.000,3.646614
149.000,3.646614
150.000,3.646614
151.000,3.646614
152.000,3.646614
153.000,3.646614
154.000,3.646614
155.000,3.646614
156.000,3.646614
157.000,3.646614
158.000,3.646614
159.000,3.646614
160.000,3.646614
161.000,3.646614
162.000,3.646614
163.000,3.646614
164.000,3.646614
165.000,3.646614
166.000,3.646614
167.000,3.646614
168.000,3.646614
169.000,3.646614
170.000,3.646614
171.000,3.646614
172.000,3.646614
173.000,3.646614
174.000,3.646614
175.000,3.646614
176.000,3.646614
177.000,3.646614
178.000,3.646614
179.000,3.646614
180.000,3.646614
181.000,3.646614
182.000,3.646614
183.000,3.646614
184.000,3.646614
185.000,3.646614
186.000,3.646614
187.000,3.646614
188.000,3.646614
189.000,3.646614
190.000,3.646614
191.000,3.646614
