iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,fuel_mass_kg,payload_mass_kg,total_fuel_consumed
0,10554.689661,10524.913509,-29.776152,5037.513696,247.399813,5000.000000,247.399813
1,10524.913509,10517.926992,-6.986517,5031.107139,246.819853,5000.000000,246.819853
2,10517.926992,10516.288991,-1.638001,5029.605069,246.683922,5000.000000,246.683922
3,10516.288991,10515.905029,-0.383962,5029.252968,246.652061,5000.000000,246.652061
4,10515.905029,10515.815029,-0.090000,5029.170436,246.644593,5000.000000,246.644593
5,10515.815029,10515.793933,-0.021096,5029.151090,246.642843,5000.000000,246.642843
6,10515.793933,10515.788989,-0.004945,5029.146556,246.642433,5000.000000,246.642433
7,10515.788989,10515.787829,-0.001159,5029.145493,246.642336,5000.000000,246.642336
8,10515.787829,10515.787558,-0.000272,5029.145244,246.642314,5000.000000,246.642314
